"V1","V2"
"168074","220971"
"124519","124520"
"166628","166632"
"35337","303342"
"293459","311376"
"15103","15105"
"168467","362442"
"225107","231217"
"151242","390750"
"197487","269920"
"169284","363274"
"318808","349515"
"44360","49891"
"441","256725"
"102987","385354"
"374673","135804"
"130501","274118"
"174453","255398"
"116279","308154"
"33474","93548"
"233286","268798"
"272334","32959"
"79466","252743"
"127152","159160"
"10905","390383"
"319985","338837"
"384395","84937"
"369484","369485"
"39526","302070"
"269963","270585"
"47897","188898"
"12096","140595"
"38092","118378"
"36411","98520"
"117629","168865"
"123086","230980"
"73978","81174"
"151321","303342"
"102987","288264"
"95309","231156"
"31164","49177"
"331245","393175"
"51569","352144"
"75669","80554"
"43165","244625"
"66138","89377"
"329981","353233"
"64687","137880"
"369029","385869"
"311516","306579"
"222871","377190"
"87718","87721"
"107976","330477"
"201270","229706"
"60376","371558"
"73815","169284"
"13091","354199"
"17556","287538"
"3391","27982"
"88959","197966"
"49051","30286"
"2552","3858"
"228132","331245"
"22784","30644"
"6580","349113"
"148311","310974"
"32395","120931"
"34868","291289"
"98520","196445"
"17361","100289"
"62280","106813"
"8226","33718"
"12575","150787"
"40916","336417"
"239213","283172"
"283634","292196"
"12644","244402"
"189656","391692"
"89358","89363"
"225280","231890"
"83772","90553"
"68661","190429"
"287122","287711"
"327896","389494"
"78021","267765"
"89358","113825"
"11194","103620"
"180628","287711"
"298467","308676"
"71208","238525"
"323660","402336"
"214048","327236"
"103035","91161"
"24312","45199"
"21862","47947"
"6045","99022"
"191027","191028"
"33818","91734"
"16107","215642"
"30766","200360"
"68283","305463"
"73506","168074"
"188807","373707"
"22891","276594"
"237564","237566"
"65021","155306"
"42058","399580"
"193109","193112"
"42176","43165"
"389997","115522"
"56904","218824"
"222696","381460"
"162974","343645"
"9781","169808"
"285058","288828"
"124723","361401"
"196737","218331"
"90","61375"
"248309","223738"
"160700","183632"
"230917","289956"
"301718","340985"
"392150","397773"
"301635","302639"
"330126","196976"
"202247","230405"
"89358","119244"
"42477","211687"
"69585","72115"
"90","226496"
"160904","209360"
"71783","117828"
"90","12997"
"40967","104341"
"376107","376108"
"266433","393519"
"8701","246185"
"3454","329981"
"69968","150063"
"117601","134660"
"62274","222473"
"72560","36376"
"35337","78908"
"8573","150996"
"85475","383118"
"130427","333883"
"44028","195339"
"267938","384598"
"64759","68415"
"74626","90451"
"64759","169228"
"164722","136244"
"35991","268516"
"101756","231279"
"288191","320851"
"61523","117003"
"178336","31974"
"88046","241379"
"197577","344286"
"29643","287693"
"6580","262386"
"16128","60376"
"83593","329463"
"188205","249493"
"11640","289046"
"174472","221296"
"99515","125166"
"377235","400045"
"160667","282777"
"32700","97241"
"102023","387060"
"234578","383981"
"219280","361401"
"65409","338806"
"56400","93708"
"185819","201677"
"172726","284786"
"126024","126026"
"154146","238062"
"215356","342450"
"226318","270436"
"363146","293462"
"99022","157048"
"246301","287466"
"90020","324316"
"18394","362789"
"280844","320349"
"212020","106739"
"29402","140883"
"13416","31270"
"246563","308440"
"157192","362275"
"203359","361453"
"18187","18247"
"35634","107629"
"189493","387869"
"202348","237301"
"10748","270574"
"273143","93372"
"98717","242269"
"153323","260305"
"56696","399397"
"8590","20706"
"670","9716"
"1042","2461"
"339111","342708"
"4014","299438"
"225927","316699"
"25840","40577"
"209600","209604"
"192364","289797"
"115517","115522"
"185309","114186"
"90","4951"
"172786","173444"
"211054","260635"
"100383","100385"
"74765","81495"
"6244","390557"
"239841","270708"
"169808","223152"
"379327","385256"
"150885","347745"
"10760","163962"
"115214","115215"
"365714","376880"
"103329","172120"
"140022","197347"
"12267","329161"
"86581","247055"
"81725","212823"
"407","84589"
"170342","312082"
"183214","315776"
"345340","387282"
"132569","250281"
"274953","342771"
"225357","130212"
"278737","308793"
"188971","337377"
"75072","169803"
"69318","101504"
"64749","116360"
"5092","105066"
"12604","85143"
"272334","390804"
"85817","234666"
"200295","200297"
"246142","308793"
"77398","126968"
"94468","327420"
"1522","238525"
"14058","122874"
"32029","194305"
"15178","165737"
"208703","208705"
"75711","347994"
"62280","218982"
"86496","102539"
"51569","325336"
"255211","398644"
"276822","340350"
"263726","263728"
"16126","1552"
"218955","266600"
"184596","224713"
"161934","292972"
"10232","255366"
"81922","288264"
"100289","222402"
"175458","200219"
"11637","88680"
"64749","73506"
"1709","20861"
"1370","244145"
"6580","266877"
"69687","178525"
"83593","59577"
"68883","227253"
"235069","193295"
"68174","224690"
"15841","160253"
"94479","98355"
"132258","205671"
"179523","252746"
"92163","136379"
"196284","197872"
"90","98728"
"114912","320344"
"226546","234437"
"24456","29905"
"231217","86545"
"317402","379001"
"159845","276038"
"8899","131499"
"170291","252570"
"41978","87844"
"243577","277785"
"203335","203336"
"67033","277785"
"214865","222120"
"8363","295488"
"27125","210304"
"24567","319083"
"98359","372126"
"320405","357146"
"54582","330661"
"317172","202247"
"112702","311596"
"87073","106349"
"251437","338162"
"35634","101285"
"109379","254604"
"318694","158577"
"197595","390766"
"68426","249253"
"7708","211060"
"1275","94291"
"284308","284312"
"293469","293472"
"14090","46412"
"19526","360345"
"187355","209341"
"79790","215247"
"153910","153912"
"83142","230405"
"195736","318456"
"52840","389645"
"104410","179378"
"294452","384257"
"148425","202220"
"376107","378149"
"104887","378257"
"179379","167123"
"5410","160811"
"246367","285678"
"2073","69102"
"224731","246380"
"228956","295488"
"220342","293584"
"69529","280759"
"254427","353013"
"174968","333883"
"257513","223757"
"154972","246718"
"124609","186707"
"71073","95900"
"105184","307907"
"117104","132836"
"60937","346600"
"26899","182190"
"6261","152440"
"73837","49402"
"74547","126547"
"169911","275335"
"72560","276038"
"127819","35124"
"273656","251964"
"102314","244258"
"358788","358790"
"18396","228275"
"204918","208555"
"142884","204959"
"105526","248401"
"21090","189857"
"75700","85730"
"17615","46451"
"20386","49402"
"275419","206514"
"222386","237053"
"108073","159753"
"181843","242404"
"6170","10661"
"41486","238118"
"60950","230314"
"274817","342296"
"25992","28715"
"227036","289910"
"16408","180227"
"187854","301780"
"26668","42033"
"273062","214696"
"2563","218956"
"257400","61186"
"268466","285130"
"70491","250204"
"339395","176159"
"348454","154692"
"1602","84589"
"232795","312404"
"300471","342777"
"26990","32936"
"114570","129161"
"52637","160493"
"69787","167493"
"265516","219630"
"113344","173049"
"4249","353536"
"87434","198416"
"210292","344173"
"202217","165682"
"161485","91161"
"34912","45942"
"110034","110037"
"200154","359376"
"41225","253863"
"130","198"
"228567","285187"
"51868","277998"
"30766","33459"
"265471","344707"
"37052","128193"
"45135","335860"
"53196","264952"
"121475","125939"
"298467","58349"
"337938","382359"
"289229","393726"
"192340","280805"
"26150","316958"
"40417","40420"
"214656","230015"
"106917","262478"
"57351","258565"
"58057","92249"
"128600","218105"
"37421","156706"
"94166","282626"
"39621","63717"
"184725","264952"
"40967","40969"
"194658","246718"
"67553","202150"
"110345","355743"
"21723","265"
"16126","79466"
"29246","35124"
"231868","231870"
"275419","294584"
"64878","135006"
"32700","158139"
"136019","293591"
"248762","378226"
"67400","267488"
"149963","214029"
"253799","331245"
"283172","283896"
"18947","159165"
"15843","105403"
"123755","385932"
"37637","277684"
"53645","112069"
"158945","344880"
"339256","339827"
"168865","227412"
"363638","383545"
"52713","71135"
"2552","60622"
"26264","26267"
"271390","271395"
"92656","147122"
"34865","149579"
"16121","24842"
"283802","355743"
"48396","74494"
"225322","264517"
"53956","293009"
"300062","261923"
"63115","375068"
"6322","359430"
"142078","142079"
"126263","346021"
"257995","295235"
"38166","148495"
"120657","136510"
"71208","79450"
"52971","148899"
"81924","102339"
"189010","231156"
"30231","105993"
"33394","343408"
"211179","354209"
"99487","132109"
"184543","100385"
"146802","170021"
"133544","273161"
"16174","161687"
"260482","339111"
"374904","129907"
"160195","340227"
"4120","10449"
"170340","274477"
"120241","236748"
"91077","153797"
"201175","322668"
"110877","157383"
"50659","120637"
"384706","390164"
"355913","385062"
"188360","323893"
"179379","289443"
"228956","345199"
"200297","204127"
"146352","397494"
"26754","129362"
"5819","20676"
"86260","390750"
"164663","293324"
"363146","373858"
"63232","182488"
"117036","333076"
"75468","36901"
"141728","10271"
"253417","299682"
"66017","218105"
"48242","127410"
"197035","221607"
"176822","7634"
"192387","277453"
"36111","238023"
"137654","137655"
"10974","13518"
"28723","326001"
"122108","269642"
"284308","315756"
"159881","298248"
"173402","200162"
"73315","187712"
"234958","234960"
"76732","303342"
"4434","106739"
"131159","191109"
"25549","219595"
"24063","75149"
"225991","357514"
"107951","102999"
"72581","110031"
"89059","6449"
"155284","155286"
"2384","12161"
"387148","387282"
"47528","321135"
"6370","172759"
"6449","242269"
"42287","228519"
"24063","143876"
"330854","357682"
"132458","331851"
"683","5179"
"130501","188616"
"226152","314176"
"280683","344286"
"276719","378149"
"131827","176159"
"242295","376880"
"273143","43803"
"316513","357519"
"6170","180490"
"220248","100390"
"17864","140883"
"110656","133168"
"164740","226391"
"206632","229468"
"58472","249086"
"230572","230578"
"174215","155398"
"297621","344441"
"350125","258041"
"31974","272960"
"347295","390895"
"251437","279955"
"199046","376258"
"670","139278"
"21372","137880"
"37149","157125"
"190971","272859"
"165392","186610"
"132458","341482"
"327984","123279"
"212020","276706"
"161934","325553"
"10025","298784"
"30644","75477"
"381529","398030"
"105403","329395"
"182045","282777"
"236137","334955"
"45615","280805"
"85070","322758"
"40320","283490"
"105548","105549"
"184612","159233"
