"from_name","to_name","connected","num_common_genre","from_salesrank","from_rating","from_reviews","to_salesrank","to_rating","to_reviews","from_degree","from_closeness","from_betweenness","from_transitivity","from_eigenvec_centrality","to_degree","to_closeness","to_betweenness","to_transitivity","to_eigenvec_centrality","same_community"
90,2346,1,2,841921,4.5,46,44760,3.5,35,2,1.07634747940947e-06,0,1,3.6905078729125e-05,0,NA,0,NA,1.02750738949566e-15,0
90,11246,1,0,841921,4.5,46,144393,4,44,2,1.07634747940947e-06,0,1,3.6905078729125e-05,1,9.10575146579834e-07,0,NA,1.73612114273965e-07,0
90,30614,1,0,841921,4.5,46,229964,4.5,106,2,1.07634747940947e-06,0,1,3.6905078729125e-05,3,0.125,2.00006000140003e-10,0.333333333333333,8.94537614651041e-16,0
90,71480,1,0,841921,4.5,46,136547,3.5,37,2,1.07634747940947e-06,0,1,3.6905078729125e-05,4,1.06434950683366e-06,4.29734891960812e-05,0.333333333333333,2.99164729278803e-05,0
90,137719,1,0,841921,4.5,46,134324,4.5,88,2,1.07634747940947e-06,0,1,3.6905078729125e-05,2,9.70344336391212e-07,2.67022244037585e-05,0,4.39569152042353e-09,0
90,147067,1,0,841921,4.5,46,220395,4.5,31,2,1.07634747940947e-06,0,1,3.6905078729125e-05,2,0.0178571428571429,3.00009000210005e-09,0,1.10540293454896e-15,0
90,213217,1,0,841921,4.5,46,32723,4.5,72,2,1.07634747940947e-06,0,1,3.6905078729125e-05,1,9.70327388460867e-07,0,NA,4.35846299890486e-09,0
90,219575,1,0,841921,4.5,46,155616,4.5,159,2,1.07634747940947e-06,0,1,3.6905078729125e-05,0,NA,0,NA,1.02750738949566e-15,0
90,250817,1,0,841921,4.5,46,758086,4.5,26,2,1.07634747940947e-06,0,1,3.6905078729125e-05,0,NA,0,NA,1.02750738949566e-15,0
90,264819,1,0,841921,4.5,46,9454,4,28,2,1.07634747940947e-06,0,1,3.6905078729125e-05,NA,NA,NA,NA,NA,NA
90,276701,1,0,841921,4.5,46,665192,4.5,28,2,1.07634747940947e-06,0,1,3.6905078729125e-05,NA,NA,NA,NA,NA,NA
90,368369,1,0,841921,4.5,46,1080062,4.5,88,2,1.07634747940947e-06,0,1,3.6905078729125e-05,NA,NA,NA,NA,NA,NA
90,382713,1,0,841921,4.5,46,225100,4.5,1432,2,1.07634747940947e-06,0,1,3.6905078729125e-05,NA,NA,NA,NA,NA,NA
90,384076,1,0,841921,4.5,46,36910,4.5,26,2,1.07634747940947e-06,0,1,3.6905078729125e-05,NA,NA,NA,NA,NA,NA
90,386093,1,0,841921,4.5,46,74854,4,40,2,1.07634747940947e-06,0,1,3.6905078729125e-05,NA,NA,NA,NA,NA,NA
101,101663,1,1,612868,4,76,1231,3.5,72,10,1.25400497839976e-06,0.00024529012946369,0.0444444444444444,0.00294216849920983,3,0.00537634408602151,1.54171291774586e-08,0.666666666666667,0,0
120,341569,1,1,17693,4,40,6868,4.5,34,7,1.14759836352473e-06,0.000635246614514643,0.142857142857143,0.000192684768798274,NA,NA,NA,NA,NA,NA
130,198,1,0,29460,3.5,375,933676,4.5,39,3,1.22995027311046e-06,0.000525339493799764,0,0.00307008885908013,3,1.19383313555498e-06,0,1,0.00130747372291159,1
148,20386,1,2,77008,4,42,876,4,433,5,1.3194892521003e-06,0.000193080779526627,0.2,0.0204594469392571,1,1,0,NA,8.81051856813719e-16,0
185,6678,1,1,14050,3.5,45,99555,3,116,2,1.07450164613652e-06,0,1,2.4318483674426e-05,2,9.64683887560305e-07,4.2430797813395e-05,0,4.97394891700636e-08,0
185,9242,1,3,14050,3.5,45,72573,3.5,41,2,1.07450164613652e-06,0,1,2.4318483674426e-05,4,0.05,0,1,0,0
185,101538,1,1,14050,3.5,45,19143,4,39,2,1.07450164613652e-06,0,1,2.4318483674426e-05,5,1.09008815542913e-06,9.07114313947462e-05,0.2,9.95305114222437e-08,0
185,219012,1,1,14050,3.5,45,368775,4.5,127,2,1.07450164613652e-06,0,1,2.4318483674426e-05,NA,NA,NA,NA,NA,NA
185,237324,1,1,14050,3.5,45,193304,5,36,2,1.07450164613652e-06,0,1,2.4318483674426e-05,0,NA,0,NA,1.02750738949566e-15,0
185,240458,1,1,14050,3.5,45,206430,4.5,195,2,1.07450164613652e-06,0,1,2.4318483674426e-05,2,8.31686593877456e-07,0,1,1.9383603128628e-11,0
185,262911,1,1,14050,3.5,45,18281,4.5,142,2,1.07450164613652e-06,0,1,2.4318483674426e-05,NA,NA,NA,NA,NA,NA
185,263996,1,1,14050,3.5,45,168251,5,35,2,1.07450164613652e-06,0,1,2.4318483674426e-05,NA,NA,NA,NA,NA,NA
