"from_name","to_name","connected","num_common_genre","from_salesrank","from_rating","from_reviews","to_salesrank","to_rating","to_reviews","from_degree","from_closeness","from_betweenness","from_transitivity","from_eigenvec_centrality","from_pagerank","to_degree","to_closeness","to_betweenness","to_transitivity","to_eigenvec_centrality","to_pagerank","same_community"
120,439,1,2,17693,4,40,105471,4.5,62,12,1.25645661643772e-06,0.00106475508008113,0.0606060606060606,2.03790889712827e-05,3.11176403591276e-05,8,1.15416532494948e-06,0.000127281451791344,0.178571428571429,1.92881934564953e-06,2.04577449369669e-05,1
130,441,1,1,29460,3.5,375,225347,4.5,424,5,1.26920465290426e-06,2.37126221379185e-05,0.6,0.000302139621433419,1.24231324893051e-05,3,1.16269200405082e-06,0,1,6.52905636648647e-05,7.94838561773291e-06,1
193,4185,1,4,10350,3,261,9023,4.5,214,21,1.48984891442159e-06,0.00715119921236215,0.019047619047619,0.00465876404463979,5.32772261746136e-05,6,1.35729409848526e-06,0.000848095811002565,0,0.00105417581066735,1.76522839190221e-05,1
193,51254,1,3,10350,3,261,9546,4.5,371,21,1.48984891442159e-06,0.00715119921236215,0.019047619047619,0.00465876404463979,5.32772261746136e-05,2,1.34584973587699e-06,3.99004240629148e-05,0,0.000337980514383845,6.78155212516038e-06,0
193,75030,1,1,10350,3,261,5853,3.5,118,21,1.48984891442159e-06,0.00715119921236215,0.019047619047619,0.00465876404463979,5.32772261746136e-05,3,1.34624109293237e-06,0.000120052500285017,0.333333333333333,0.000364727758313157,8.85839240636653e-06,0
257,1552,1,3,38960,4.5,167,481229,4.5,35,5,1.03190122641461e-06,2.81518042830775e-05,0.2,1.45556123851321e-07,1.62614336464814e-05,3,1.0868702809451e-06,3.91008366445826e-05,0,6.92318969325854e-07,1.21145470242811e-05,1
257,2194,1,2,38960,4.5,167,16531,4.5,92,5,1.03190122641461e-06,2.81518042830775e-05,0.2,1.45556123851321e-07,1.62614336464814e-05,7,1.02800385295844e-06,8.78928474685356e-05,0.0952380952380952,1.28712363087741e-07,2.22031098376403e-05,1
265,501,1,1,100261,4.5,47,348971,4.5,55,3,1.282008548433e-06,1.06669866741335e-10,0.666666666666667,0.000273963679592742,8.2028451242718e-06,5,1.28201347908972e-06,7.21880322931979e-06,0.3,0.000290009699531493,1.32203386979835e-05,1
439,561,1,5,105471,4.5,62,440649,4,78,8,1.15416532494948e-06,0.000127281451791344,0.178571428571429,1.92881934564953e-06,2.04577449369669e-05,8,1.11000480632081e-06,0.00017341011932782,0.0714285714285714,2.04926031657192e-06,2.18858296367452e-05,1
448,688,1,3,607,4.5,141,569310,3,1688,33,1.45625695362695e-06,0.00399524704473784,0.0359848484848485,0.00271350583077183,6.82759513329742e-05,10,1.35010341792181e-06,0.00082596757031754,0.244444444444444,0.000730620808623918,2.25812272465264e-05,1
448,5670,1,1,607,4.5,141,12846,4.5,37,33,1.45625695362695e-06,0.00399524704473784,0.0359848484848485,0.00271350583077183,6.82759513329742e-05,11,1.42621816859325e-06,0.000611147342842305,0.0909090909090909,0.00118888680212248,2.54465186989351e-05,1
448,19678,1,1,607,4.5,141,97198,4,62,33,1.45625695362695e-06,0.00399524704473784,0.0359848484848485,0.00271350583077183,6.82759513329742e-05,4,1.384060057134e-06,0.000353319985371567,0,0.000917121982123513,8.87731983236468e-06,1
448,26016,1,2,607,4.5,141,215103,4.5,65,33,1.45625695362695e-06,0.00399524704473784,0.0359848484848485,0.00271350583077183,6.82759513329742e-05,4,1.39791124102366e-06,7.09646694862129e-05,0.166666666666667,0.00170678788922024,8.83630305149896e-06,1
448,41877,1,2,607,4.5,141,199265,4,237,33,1.45625695362695e-06,0.00399524704473784,0.0359848484848485,0.00271350583077183,6.82759513329742e-05,3,1.32599263808887e-06,0.000170337899995593,0,0.000220956812581518,8.27959480421935e-06,1
450,4390,1,2,52294,4.5,179,551077,3.5,55,20,1.49084620430556e-06,0.00497424884166867,0.00526315789473684,0.0048527462138115,5.74416259397145e-05,4,1.3573548953683e-06,0.000248827316642526,0.166666666666667,0.000384038388734767,1.10766751073978e-05,0
450,26350,1,1,52294,4.5,179,318244,4.5,64,20,1.49084620430556e-06,0.00497424884166867,0.00526315789473684,0.0048527462138115,5.74416259397145e-05,2,1.34601639717175e-06,7.21811654205264e-05,0,0.000352074362698855,7.2275648770366e-06,1
450,145531,1,2,52294,4.5,179,116608,4.5,39,20,1.49084620430556e-06,0.00497424884166867,0.00526315789473684,0.0048527462138115,5.74416259397145e-05,2,1.34609430736717e-06,6.58319384178156e-05,0,0.000352042506234151,7.41566527055526e-06,1
450,253863,1,1,52294,4.5,179,74684,5,35,20,1.49084620430556e-06,0.00497424884166867,0.00526315789473684,0.0048527462138115,5.74416259397145e-05,2,1.34600190324669e-06,1.44370331081058e-05,0,0.00035203203147323,8.42250652666895e-06,1
472,10432,1,1,149198,4.5,47,219515,4.5,84,9,1.15035350363167e-06,6.08126474050179e-05,0.277777777777778,1.24364940074882e-05,2.09278745833948e-05,4,1.13320996454186e-06,1.69493881454043e-07,0.666666666666667,6.90185386117824e-06,9.51599947614974e-06,1
575,3458,1,1,178278,4.5,56,18068,4,52,4,1.11484460181095e-06,4.20561970918061e-05,0,6.38423527514542e-07,1.58074347081344e-05,1,1.03181178927514e-06,0,NA,4.60718720935247e-08,4.94751606005834e-06,1
