"from_name","to_name","connected","num_common_genre","from_salesrank","from_rating","from_reviews","to_salesrank","to_rating","to_reviews","from_degree","from_closeness","from_betweenness","from_transitivity","from_eigenvec_centrality","to_degree","to_closeness","to_betweenness","to_transitivity","to_eigenvec_centrality","same_community"
90,120,1,0,841921,4.5,46,17693,4,40,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,0
90,3432,1,0,841921,4.5,46,415822,4,33,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,23,1.78071873369529e-06,0.000613373178423454,0.0553359683794466,0.00334439905908591,1
90,4536,1,0,841921,4.5,46,157066,4,50,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,7,1.77494732843803e-06,3.00593392516568e-05,0.333333333333333,0.00322027958979153,1
90,6488,1,0,841921,4.5,46,172852,4.5,33,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,18,1.79332953147473e-06,0.000916763052863992,0.0392156862745098,0.00493802416862801,0
90,29576,1,0,841921,4.5,46,1262088,4.5,1185,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,7,1.77761344729021e-06,0.000165834262017936,0.142857142857143,0.00344319525568223,0
90,70531,1,0,841921,4.5,46,331002,2,29,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,3,1.77579204764805e-06,0.000584720818743839,0,0.0027523061928457,0
90,93206,1,0,841921,4.5,46,103473,5,29,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,4,1.77625256890528e-06,3.39575448222676e-05,0.666666666666667,0.0029778055266271,1
90,100302,1,0,841921,4.5,46,1120348,4.5,46,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,3,1.77528764098003e-06,1.10195461532435e-05,0.333333333333333,0.00290634366492666,1
90,110848,1,0,841921,4.5,46,24791,4,49,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,2,1.77404361308818e-06,0.000584078144878413,0,0.00274848954382619,1
90,119579,1,0,841921,4.5,46,450364,4,44,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,4,1.77334834768268e-06,0.000116174669805442,0.5,0.00275586860075185,1
90,151850,1,0,841921,4.5,46,268821,4.5,33,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,1,1.77328859917294e-06,0,NA,0.00274411182489874,1
90,172054,1,0,841921,4.5,46,20570,3.5,37,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,2,1.77513322374844e-06,9.20503781856401e-08,0,0.00478925347302823,0
90,178684,1,0,841921,4.5,46,1165,4.5,539,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,2,1.773599964528e-06,3.27430646239182e-05,0,0.00274774484152386,1
90,197257,1,0,841921,4.5,46,436845,4,45,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,3,1.77331061131337e-06,2.24653539560811e-05,0.333333333333333,0.00275959450045264,1
90,257779,1,0,841921,4.5,46,558338,4.5,36,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,3,1.77342697027736e-06,4.87002620859134e-05,0.333333333333333,0.00275164511644975,0
90,271849,1,0,841921,4.5,46,134796,4,59,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,3,1.77471422664166e-06,0.000903856392792267,0.333333333333333,0.00275191540494312,0
90,346425,1,2,841921,4.5,46,3019,3.5,48,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,5,1.92508345236766e-06,0.00230215161125447,0.1,0.018290899859473,0
90,358170,1,0,841921,4.5,46,256107,5,28,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,1,1.77328859917294e-06,0,NA,0.00274411182489874,1
90,358230,1,0,841921,4.5,46,282292,4,75,104,2.06744416350175e-06,0.0158714826928395,0.00840179238237491,0.0755822986432742,1,1.77328859917294e-06,0,NA,0.00274411182489874,1
120,634,1,1,17693,4,40,213692,4,55,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,205,2.0364649412378e-06,0.0180933056058838,0.00530846484935438,0.0948520647464543,1
120,1663,1,1,17693,4,40,171366,4.5,48,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,33,1.95537826792593e-06,0.00311637308038696,0.0492424242424242,0.0284789831517845,1
120,2009,1,1,17693,4,40,1061681,4.5,25,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,8,1.71855558839906e-06,0.000243612865689056,0.0357142857142857,0.0036551741028313,1
120,3361,1,1,17693,4,40,439633,5,29,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,10,1.88298385153049e-06,0.000357229400764822,0.0666666666666667,0.018304142634797,1
120,40830,1,1,17693,4,40,239942,4.5,286,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,3,1.70946015248385e-06,3.2094562830466e-05,0.333333333333333,0.00234365260695386,1
120,62079,1,4,17693,4,40,61697,4,89,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,7,1.77331061131337e-06,0.000160995973810583,0.428571428571429,0.00582528631120566,0
120,62274,1,1,17693,4,40,353,3.5,158,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,4,1.71347303850174e-06,2.45668653680117e-05,0.333333333333333,0.00314510671113548,0
120,64537,1,1,17693,4,40,219543,4,48,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,3,1.71101327917406e-06,0.000120829383997918,0,0.0023456544538288,0
120,130318,1,1,17693,4,40,850029,4.5,25,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,3,1.71092545668878e-06,8.95377674303345e-05,0,0.00235139654314941,0
120,138234,1,1,17693,4,40,29811,5,54,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,3,1.71388123831347e-06,1.80687285478436e-05,0.333333333333333,0.00308277579866696,0
120,160430,1,0,17693,4,40,145601,4.5,234,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,6,1.77502609288357e-06,0.000558608256188114,0.2,0.00582257979384995,1
120,194601,1,1,17693,4,40,16850,5,27,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,3,1.86951530946087e-06,1.60474814212332e-05,0.333333333333333,0.0177609937178898,1
120,244212,1,1,17693,4,40,27871,5,26,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,1,1.70944846354772e-06,0,NA,0.00233724128447009,1
120,317301,1,1,17693,4,40,61843,4.5,74,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,8,1.96806615851198e-06,0.000548759464413224,0.178571428571429,0.0403542368818105,0
120,320405,1,1,17693,4,40,772,4.5,84,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,2,1.71155505045664e-06,0.000128897535889443,0,0.00234066120986719,0
120,338240,1,2,17693,4,40,36404,4.5,35,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,2,1.7094543079958e-06,1.60474814212331e-05,0,0.00234032617536738,1
120,341201,1,1,17693,4,40,239632,4.5,98,110,1.98118272646404e-06,0.00951059283537773,0.0110091743119266,0.0643756814723479,3,1.87008867960519e-06,0.000107398464140764,0.333333333333333,0.017761400622998,0
185,668,1,1,14050,3.5,45,152763,4,236,6,1.48751307152112e-06,2.31666870180034e-05,0.266666666666667,6.67321284798361e-05,5,1.33679295349698e-06,1.61412093554353e-05,0.3,4.29596488064894e-06,0
185,1552,1,1,14050,3.5,45,481229,4.5,35,6,1.48751307152112e-06,2.31666870180034e-05,0.266666666666667,6.67321284798361e-05,8,1.56308860055115e-06,4.1784223100769e-05,0.285714285714286,0.000152418723936698,1
185,2930,1,0,14050,3.5,45,34796,4.5,104,6,1.48751307152112e-06,2.31666870180034e-05,0.266666666666667,6.67321284798361e-05,7,1.63643891255361e-06,9.79852205914185e-05,0.333333333333333,0.000733159658590714,1
193,724,1,1,10350,3,261,137116,5,25,31,1.92021137686837e-06,0.0018205553214974,0.0193548387096774,0.0191488995850561,16,1.76433122142886e-06,0.000289489834338407,0.1,0.00365476504227094,0
193,2646,1,1,10350,3,261,414545,4,25,31,1.92021137686837e-06,0.0018205553214974,0.0193548387096774,0.0191488995850561,2,1.66449173080508e-06,1.74463673229227e-05,0,0.000697537780863572,1
193,36000,1,1,10350,3,261,3211,4.5,32,31,1.92021137686837e-06,0.0018205553214974,0.0193548387096774,0.0191488995850561,3,1.66423688082067e-06,6.85459970288208e-05,0,0.000697221478251798,0
193,109645,1,1,10350,3,261,339935,4,132,31,1.92021137686837e-06,0.0018205553214974,0.0193548387096774,0.0191488995850561,3,1.67170686285818e-06,9.80571654984439e-05,0,0.000699141099807624,1
193,337120,1,4,10350,3,261,176044,2.5,29,31,1.92021137686837e-06,0.0018205553214974,0.0193548387096774,0.0191488995850561,5,1.66503216009617e-06,8.35691823017082e-06,0.6,0.000780387178977676,0
198,2339,1,0,933676,4.5,39,41819,4.5,145,9,1.49673487287482e-06,0.000108256510065428,0.25,3.88336282630968e-05,8,1.49855164983044e-06,5.64958890812841e-05,0.285714285714286,3.94028346639495e-05,1
220,265,1,3,828048,4.5,30,100261,4.5,47,21,1.3476271654684e-06,0.000280768518058166,0.128571428571429,3.19797804999737e-06,21,1.33471075483232e-06,0.000197087055128355,0.138095238095238,1.59262835415028e-06,1
220,18315,1,1,828048,4.5,30,27449,4.5,28,21,1.3476271654684e-06,0.000280768518058166,0.128571428571429,3.19797804999737e-06,6,1.25184490643085e-06,2.16373456914545e-05,0.133333333333333,3.49411179700732e-07,1
255,296,1,1,144965,4,27,19,3.5,3049,39,1.55220451846735e-06,0.000457615570195341,0.067476383265857,0.000401416002993495,16,1.54403431461861e-06,0.000316706915976624,0.116666666666667,0.000256553664163131,1
255,17814,1,1,144965,4,27,2134,4,48,39,1.55220451846735e-06,0.000457615570195341,0.067476383265857,0.000401416002993495,3,1.57015450320312e-06,7.36771043314232e-06,0.333333333333333,0.000246719145362271,0
