"from_name","to_name","connected","num_common_genre","from_salesrank","from_rating","from_reviews","to_salesrank","to_rating","to_reviews"
120,439,1,2,17693,4,40,105471,4.5,62
130,441,1,1,29460,3.5,375,225347,4.5,424
193,4185,1,4,10350,3,261,9023,4.5,214
193,51254,1,3,10350,3,261,9546,4.5,371
193,75030,1,1,10350,3,261,5853,3.5,118
198,255,1,0,933676,4.5,39,144965,4,27
257,1552,1,3,38960,4.5,167,481229,4.5,35
257,2194,1,2,38960,4.5,167,16531,4.5,92
265,501,1,1,100261,4.5,47,348971,4.5,55
435,915,1,3,125967,4.5,27,77236,3.5,55
435,1975,1,2,125967,4.5,27,6490,4,41
435,7551,1,3,125967,4.5,27,21847,4.5,57
435,12457,1,1,125967,4.5,27,20232,3,216
439,561,1,5,105471,4.5,62,440649,4,78
448,688,1,3,607,4.5,141,569310,3,1688
448,5670,1,1,607,4.5,141,12846,4.5,37
448,19678,1,1,607,4.5,141,97198,4,62
448,26016,1,2,607,4.5,141,215103,4.5,65
448,41877,1,2,607,4.5,141,199265,4,237
450,4390,1,2,52294,4.5,179,551077,3.5,55
450,26350,1,1,52294,4.5,179,318244,4.5,64
450,124241,1,1,52294,4.5,179,90865,3.5,32
450,145531,1,2,52294,4.5,179,116608,4.5,39
450,253863,1,1,52294,4.5,179,74684,5,35
472,10432,1,1,149198,4.5,47,219515,4.5,84
575,3458,1,1,178278,4.5,56,18068,4,52
577,7406,1,4,758,4.5,316,17833,5,360
582,826,1,2,38164,3.5,178,269712,4,178
632,633,1,0,338392,4.5,29,2745,4.5,54
632,634,1,0,338392,4.5,29,213692,4,55
633,634,1,1,2745,4.5,54,213692,4,55
658,1733,1,0,680025,4,77,312723,4.5,40
670,1042,1,1,833174,3.5,40,123768,4.5,38
683,1280,1,1,531001,3.5,36,143973,4.5,45
688,2423,1,3,569310,3,1688,14276,4,408
688,2563,1,3,569310,3,1688,19172,4.5,54
797,2418,1,1,852610,4.5,62,143436,4.5,31
886,2606,1,1,178196,4,45,491005,4,118
976,2646,1,1,48515,4,108,414545,4,25
976,4835,1,1,48515,4,108,831897,4,31
976,149035,1,2,48515,4,108,1842883,4.5,590
976,175093,1,1,48515,4,108,171553,3,31
976,184543,1,1,48515,4,108,209295,3.5,72
976,240774,1,1,48515,4,108,262328,4.5,54
987,7360,1,1,335768,4,28,403939,3.5,27
987,16309,1,2,335768,4,28,2980,4.5,78
1073,4739,1,1,416935,4,65,868892,5,4921
1113,5786,1,1,148588,5,41,482329,3.5,698
1165,3362,1,1,110574,4.5,36,276379,4.5,38
1275,676,1,1,90645,3,36,359382,4.5,551
1314,1552,1,1,112118,4,26,481229,4.5,35
1349,3866,1,3,247366,3.5,44,393765,4,38
1349,11056,1,0,247366,3.5,44,170667,4.5,53
1349,16517,1,1,247366,3.5,44,63580,3.5,33
1370,26498,1,1,1086094,3.5,52,848397,3,26
1394,1395,1,1,26591,3.5,31,177689,4.5,71
1452,54256,1,1,172257,4.5,54,13990,4.5,54
1522,4005,1,1,64536,3,66,2530,4.5,36
1733,11697,1,1,312723,4.5,40,330846,4,71
1974,3196,1,1,43640,4,31,163042,4.5,27
2050,36044,1,0,417558,3,27,20724,4.5,69
2050,36986,1,0,417558,3,27,398122,4.5,29
2050,45314,1,0,417558,3,27,34131,3.5,30
2050,188168,1,0,417558,3,27,139034,4,51
2194,24402,1,1,16531,4.5,92,348550,4.5,110
2206,32936,1,1,434091,4,26,143033,4,227
2315,2341,1,1,344083,4.5,34,14033,4.5,517
2369,4146,1,1,291455,3.5,62,91857,3,30
2419,4152,1,1,7644,4.5,56,98405,4,276
2423,5410,1,0,14276,4,408,64606,5,33
2423,16770,1,2,14276,4,408,8739,3.5,363
2423,20353,1,2,14276,4,408,24485,5,28
2423,29543,1,3,14276,4,408,81,4,1069
2423,29624,1,3,14276,4,408,38315,4.5,77
2423,32632,1,1,14276,4,408,134383,4.5,44
2423,45865,1,4,14276,4,408,1120971,4.5,47
2423,52730,1,3,14276,4,408,200900,4.5,90
2423,56394,1,2,14276,4,408,403828,4,30
2423,58740,1,2,14276,4,408,213266,5,99
2461,19340,1,2,216675,4,294,1228,4.5,102
2464,10766,1,0,151865,4,29,296502,3.5,75
2470,4877,1,1,3876,5,38,364717,3.5,88
2470,65453,1,1,3876,5,38,9486,4.5,57
2552,6550,1,1,782,4,1244,10034,4.5,69
2555,20538,1,1,101233,3.5,108,21212,3.5,54
2555,42477,1,1,101233,3.5,108,261139,4.5,119
2555,176658,1,2,101233,3.5,108,83166,4,33
2563,5238,1,2,19172,4.5,54,266553,3.5,153
2563,15457,1,1,19172,4.5,54,103544,4.5,88
2646,19260,1,1,414545,4,25,1588,4.5,144
2685,2927,1,1,1007371,4.5,992,299959,4.5,31
