"id","cleaned_genres","rating","reviews","salesrank","first_genre","num_main_genres"
130,"Nonfiction|Politics|General|Political Parties|Practical Politics|U.S.",3.5,375,29460,"Nonfiction",1
148,"Science Fiction & Fantasy|Fantasy|General|Authors, A-Z|( L )|Lackey, Mercedes|Paperback",4,42,77008,"Science Fiction & Fantasy",1
198,"Religion & Spirituality|Spirituality|Inspirational|Authors, A-Z|( T )|Thomas a' Kempis",4.5,39,933676,"Religion & Spirituality",1
265,"Health, Mind & Body|Self-Help|Self-Esteem|Religion & Spirituality|Earth-Based Religions|Wicca|Witchcraft|New Age|General|Occult|Magic|Authors, A-Z|( C )|Cunningham, Scott",4.5,47,100261,"Health, Mind & Body",2
282,"Children's Books|Literature|Action & Adventure|Teens|Literature & Fiction|Adventure & Thrillers|General|Authors & Illustrators, A-Z|( K )|Korman, Gordon",4.5,74,135990,"Children's Books",3
296,"Mystery & Thrillers|Thrillers|General|Book Clubs|Mystery|Authors, A-Z|( B )|Brown, Dan",3.5,3049,19,"Mystery & Thrillers",1
439,"Biographies & Memoirs|Ethnic & National|African-American & Black|General|Nonfiction|Social Sciences|Special Groups|African-American Studies|Literature & Fiction|World Literature|United States|African American|Douglass, Frederick|Historical",4.5,62,105471,"Biographies & Memoirs",3
441,"Literature & Fiction|General|Literary|Classics|Latin American",4.5,424,225347,"Literature & Fiction",1
450,"Literature & Fiction|Genre Fiction|Movie Tie-Ins|Horror|Authors, A-Z|( B )|Blatty, William P.|General|Contemporary",4.5,179,52294,"Literature & Fiction",2
561,"Books on Tape|Literature & Fiction|General|Contemporary|Literary|World Literature|United States|African American|Cleage, Pearl",4,78,440649,"Books on Tape",2
575,"Literature & Fiction|General|Classics|Contemporary",4.5,56,178278,"Literature & Fiction",1
577,"Literature & Fiction|General|Classics|Literary|Authors, A-Z|( K )|Kesey, Ken",4.5,316,758,"Literature & Fiction",1
633,"Children's Books|Animals|Horses|Fiction|Literature|Classics by Age|General|Ages 9-12|Authors & Illustrators, A-Z|( H )|Henry, Marguerite|Series|Misty",4.5,54,2745,"Children's Books",1
634,"Biographies & Memoirs|General|Historical|Leaders & Notable People|Royalty|Specific Groups|Women|History|Europe|France|Book Clubs|History & Nonfiction|People, A-Z|( A )|Antoinette, Marie",4,55,213692,"Biographies & Memoirs",2
670,"Books on Tape|Literature & Fiction|General|Literary",3.5,40,833174,"Books on Tape",2
683,"Literature & Fiction|General|Contemporary|Romance|Authors, A-Z|( S )|Steel, Danielle|Paperback",3.5,36,531001,"Literature & Fiction",2
688,"Literature & Fiction|Short Stories|General|Science Fiction & Fantasy|Fantasy|Books on CD|Authors, A-Z|( J )|Jordan, Robert|Series|Wheel of Time|Unabridged",3,1688,569310,"Literature & Fiction",3
824,"Science Fiction & Fantasy|Science Fiction|General|Authors, A-Z|( A )|Asimov, Isaac|Paperback",4.5,67,45996,"Science Fiction & Fantasy",1
826,"Literature & Fiction|World Literature|British|Contemporary|General|Literary|Authors, A-Z|( R )|Rushdie, Salman|Paperback",4,178,269712,"Literature & Fiction",1
846,"Parenting & Families|Parenting|Babies & Toddlers|Infants|Child Care|General|Health, Mind & Body|Authors, A-Z|Sears, Dr. William",4,542,24920,"Parenting & Families",2
863,"Business & Investing|General|Industries & Professions|Accounting|Personal Finance|Reference|Ethics|Professional & Technical|Accounting & Finance|Religion & Spirituality|Christianity|Christian Living|Business|Home & Office|Business & Investing Books",5,258,41024,"Business & Investing",4
904,"Literature & Fiction|History & Criticism|Criticism & Theory|General|Drama|Playwrights, A-Z|( S )|Shakespeare, William|Authors, A-Z|Paperback",4,32,264904,"Literature & Fiction",1
986,"Religion & Spirituality|Christianity|Reference|Criticism & Interpretation|Old Testament|New Testament|Study|Authors, A-Z|( S )|Spong, John Shelby",4,36,70096,"Religion & Spirituality",2
1212,"Literature & Fiction|General|Classics|Science Fiction & Fantasy|Science Fiction|Authors, A-Z|( B )|Bradbury, Ray|Paperback",4,268,3206,"Literature & Fiction",2
1329,"Biographies & Memoirs|Arts & Literature|Composers & Musicians|Rock|Entertainment|Music|General|History & Criticism|Musical Genres",3,49,143173,"Biographies & Memoirs",2
1462,"Literature & Fiction|General|Contemporary|Literary",5,49,102972,"Literature & Fiction",1
1566,"Literature & Fiction|General|Contemporary|Literary",4,277,162561,"Literature & Fiction",1
1709,"Biographies & Memoirs|Arts & Literature|Authors|General|Nonfiction|Social Sciences|Customs & Traditions|Professionals & Academics|Journalists",3.5,122,270620,"Biographies & Memoirs",2
1733,"Reference|Writing|Academic & Commercial|Editing|Writing Skills|Large Print|General",4.5,40,312723,"Reference",1
1776,"Children's Books|Literature|Science Fiction, Fantasy, Mystery & Horror|Science Fiction, Fantasy, & Magic|Spine-Chilling Horror|Literature & Fiction|Genre Fiction|Movie Tie-Ins|Horror|Authors, A-Z|( V )|Vornholt, John|Occult|General|Contemporary|Science Fiction & Fantasy|Teens|Suspense|Mysteries|Series|Buffy the Vampire Slayer|Mystery & Thrillers",4.5,46,39739,"Children's Books",6
1959,"Literature & Fiction|General|Contemporary|History & Criticism|Movements & Periods|Beat Generation|Short Stories|United States|Authors, A-Z|( K )|Kerouac, Jack",4.5,44,31538,"Literature & Fiction",1
1975,"Health, Mind & Body|Personal Health|Women's Health|Pregnancy & Childbirth|General|Sex",4,41,6490,"Health, Mind & Body",1
1999,"Religion & Spirituality|Christianity|Christian Living|General|Authors, A-Z|( B )|Brother Lawrence",5,40,526578,"Religion & Spirituality",1
2027,"Literature & Fiction|World Literature|British|Classics|Conrad, Joseph|General|Authors, A-Z|( C )",4,347,341596,"Literature & Fiction",1
2067,"Children's Books|Baby-3|Basic Concepts|Counting|Words|Literature|Humorous|Poetry|Dr. Seuss|Ages 4-8|General|Popular Characters|Book Characters|Authors & Illustrators, A-Z|( S )",5,86,556806,"Children's Books",1
2194,"Science Fiction & Fantasy|Authors, A-Z|( H )|Hobb, Robin|Fantasy|Epic|General",4.5,92,16531,"Science Fiction & Fantasy",1
2195,"Horror|Authors, A-Z|( B )|Barker, Clive|General|Literature & Fiction|Contemporary",3,125,464380,"Horror",2
2384,"Literature & Fiction|General|Contemporary",4,43,928240,"Literature & Fiction",1
2419,"Biographies & Memoirs|General",4.5,56,7644,"Biographies & Memoirs",1
