"id","cleaned_genres","rating","reviews","salesrank","first_genre","num_main_genres"
90,"Mystery & Thrillers|Thrillers|Spy Stories & Tales of Intrigue",4.5,46,841921,"Mystery & Thrillers",1
101,"Mystery & Thrillers|Thrillers|General|Spy Stories & Tales of Intrigue|Suspense|Books on CD|Literature & Fiction|Genre Fiction|Political",4,76,612868,"Mystery & Thrillers",3
130,"Nonfiction|Politics|General|Political Parties|Practical Politics|U.S.",3.5,375,29460,"Nonfiction",1
148,"Science Fiction & Fantasy|Fantasy|General|Authors, A-Z|( L )|Lackey, Mercedes|Paperback",4,42,77008,"Science Fiction & Fantasy",1
185,"Business & Investing|Economics|Economic History|Health, Mind & Body|Psychology & Counseling|Creativity & Genius|Nonfiction|Social Sciences|Sociology|General",3.5,45,14050,"Business & Investing",3
198,"Religion & Spirituality|Spirituality|Inspirational|Authors, A-Z|( T )|Thomas a' Kempis",4.5,39,933676,"Religion & Spirituality",1
257,"Children's Books|People & Places|Family Life|New Experiences|Social Issues|Ages 9-12|General|Book Clubs|Literature & Fiction|Popular Fiction|Teens|Authors, A-Z|( C )|Creech, Sharon",4.5,167,38960,"Children's Books",3
265,"Health, Mind & Body|Self-Help|Self-Esteem|Religion & Spirituality|Earth-Based Religions|Wicca|Witchcraft|New Age|General|Occult|Magic|Authors, A-Z|( C )|Cunningham, Scott",4.5,47,100261,"Health, Mind & Body",2
407,"Literature & Fiction|General|Contemporary|Romance|Authors, A-Z|( W )|Wiggs, Susan|Historical",4.5,58,219090,"Literature & Fiction",2
439,"Biographies & Memoirs|Ethnic & National|African-American & Black|General|Nonfiction|Social Sciences|Special Groups|African-American Studies|Literature & Fiction|World Literature|United States|African American|Douglass, Frederick|Historical",4.5,62,105471,"Biographies & Memoirs",3
441,"Literature & Fiction|General|Literary|Classics|Latin American",4.5,424,225347,"Literature & Fiction",1
448,"Mystery & Thrillers|Mystery|Series|Women Sleuths|Authors, A-Z|( E )|Evanovich, Janet|General|Paperback",4.5,141,607,"Mystery & Thrillers",1
450,"Literature & Fiction|Genre Fiction|Movie Tie-Ins|Horror|Authors, A-Z|( B )|Blatty, William P.|General|Contemporary",4.5,179,52294,"Literature & Fiction",2
561,"Books on Tape|Literature & Fiction|General|Contemporary|Literary|World Literature|United States|African American|Cleage, Pearl",4,78,440649,"Books on Tape",2
575,"Literature & Fiction|General|Classics|Contemporary",4.5,56,178278,"Literature & Fiction",1
577,"Literature & Fiction|General|Classics|Literary|Authors, A-Z|( K )|Kesey, Ken",4.5,316,758,"Literature & Fiction",1
579,"Children's Books|People & Places|Biographies|European|History & Historical Fiction|Fiction|Europe|Royalty|Teens|Historical Fiction|Authors & Illustrators, A-Z|( Y )|Yolen, Jane",4.5,32,207096,"Children's Books",2
582,"Mystery & Thrillers|Thrillers|Suspense|Authors, A-Z|( K )|Koontz, Dean|General",3.5,178,38164,"Mystery & Thrillers",1
633,"Children's Books|Animals|Horses|Fiction|Literature|Classics by Age|General|Ages 9-12|Authors & Illustrators, A-Z|( H )|Henry, Marguerite|Series|Misty",4.5,54,2745,"Children's Books",1
634,"Biographies & Memoirs|General|Historical|Leaders & Notable People|Royalty|Specific Groups|Women|History|Europe|France|Book Clubs|History & Nonfiction|People, A-Z|( A )|Antoinette, Marie",4,55,213692,"Biographies & Memoirs",2
640,"Science Fiction & Fantasy|Authors, A-Z|( S )|Silverberg, Robert|Science Fiction|General|( A )|Asimov, Isaac|Paperback",4,64,136193,"Science Fiction & Fantasy",1
654,"Health, Mind & Body|Relationships|Interpersonal Relations|Love & Romance|Self-Help|General|Self-Esteem|Dating",3.5,63,8342,"Health, Mind & Body",1
658,"Children's Books|Literature|Science Fiction, Fantasy, Mystery & Horror|Mysteries, Espionage, & Detectives|Spine-Chilling Horror|Horror|Authors, A-Z|( D )|Duncan, Lois|Teens|Literature & Fiction|Suspense|Mysteries",4,77,680025,"Children's Books",4
670,"Books on Tape|Literature & Fiction|General|Literary",3.5,40,833174,"Books on Tape",2
676,"Books on Tape|Literature & Fiction|General|Unabridged|Genre Fiction|Movie Tie-Ins|Literary",4.5,551,359382,"Books on Tape",2
681,"Sports|Miscellaneous|Reference|Golf|General",4.5,87,5559,"Sports",2
683,"Literature & Fiction|General|Contemporary|Romance|Authors, A-Z|( S )|Steel, Danielle|Paperback",3.5,36,531001,"Literature & Fiction",2
