"vertex_name","degree","closeness","betweenness","transitivity","eigenvec_centrality","pagerank","community_membership"
120,5,1.14999896500093e-06,0.000116543192393019,0,2.27282453867935e-08,1.45831594698011e-05,3
130,7,1.26050632017869e-06,6.17536258560393e-05,0.380952380952381,9.36325020026308e-07,1.69953397060869e-05,1
193,21,1.4827489572568e-06,0.00641399588835749,0.0142857142857143,1.44475293117107e-05,5.58528808102866e-05,9
198,4,1.21858488174852e-06,6.66686667133343e-11,0.833333333333333,1.99372545693672e-07,1.07501741448265e-05,1
255,5,1.21858636669945e-06,3.66677666923339e-10,0.6,2.11648174125884e-07,1.33330676974474e-05,1
257,6,1.13345143897327e-06,3.70674045003765e-05,0.133333333333333,1.75878116779448e-08,1.63464633561298e-05,5
265,4,1.26521900308334e-06,1.16670166748335e-10,0.666666666666667,4.86970321671809e-07,9.94985115126043e-06,2
435,29,1.23018177165858e-06,0.00170533651294711,0.0517241379310345,2.1610830548085e-07,7.25694330550002e-05,6
439,8,1.09259765091505e-06,8.00810104444035e-05,0.285714285714286,4.2222612412627e-09,2.00221764999713e-05,3
441,4,1.15509187600782e-06,6.49969205039837e-09,0.666666666666667,2.27079177334564e-07,1.02437390845782e-05,1
448,25,1.41924697593951e-06,0.00297960828855385,0.0333333333333333,2.17362701595832e-05,5.34725576090788e-05,9
450,26,1.4675624667964e-06,0.00523587217879795,0.00923076923076923,2.80533769147462e-05,8.12671718739616e-05,25
472,10,1.03179475538726e-06,0.000126028986346302,0.2,7.52126864644654e-10,2.52126666315768e-05,27
501,5,1.26522060386449e-06,1.21046431368423e-05,0.5,4.65330838390752e-07,1.24361562595286e-05,2
561,8,1.14668379047794e-06,0.000169258490743142,0.142857142857143,2.04225310400785e-08,2.1211197783772e-05,3
575,7,1.12501378141882e-06,2.91923243062806e-05,0.285714285714286,2.59064543622079e-08,1.90558054029713e-05,4
577,10,1.21606420819019e-06,0.000948621150570851,0.133333333333333,8.45283447899272e-07,2.66943125381338e-05,9
582,3,9.75648782048843e-07,2.90532715923371e-05,0.333333333333333,2.22663232701878e-10,1.21253362900419e-05,15
632,6,1.32183687739831e-06,7.1371938655473e-05,0.4,1.45537026203274e-06,1.35199911894583e-05,1
633,6,1.21079594092769e-06,8.50041950915208e-06,0.733333333333333,1.81704405572998e-07,1.3343856668405e-05,1
634,5,1.21079447490265e-06,1.7144634414024e-06,0.9,1.79239541982214e-07,1.1230954413022e-05,1
658,6,1.10399524840445e-06,0.000262831905213318,0.2,8.33126604258656e-09,1.76300864829785e-05,33
670,8,1.14789739633913e-06,7.15368411666391e-05,0.25,4.36468729427538e-08,2.03396244100195e-05,8
683,9,1.43669697618387e-06,0.00161696904249837,0.0833333333333333,1.01546466985046e-05,2.42300721955664e-05,1
688,14,1.35081832574173e-06,0.00108500429448254,0.0769230769230769,9.5161147703576e-06,3.34855089244339e-05,9
797,13,9.95201140102426e-07,4.57084636159837e-05,0.192307692307692,1.77042913842033e-09,2.90527709559265e-05,15
886,4,1.2530260579299e-06,3.64268616706812e-06,0.5,9.79410676886741e-07,1.10760148765008e-05,19
915,6,1.13343216861844e-06,0.000125885411504357,0.266666666666667,2.28719342517009e-08,1.58318825247051e-05,6
976,35,1.39865617115076e-06,0.00336867276897959,0.0168067226890756,6.2472089594629e-06,9.414518599588e-05,28
987,13,1.23511226552938e-06,0.000662112608853675,0.0256410256410256,1.93107535992666e-07,3.35674861629456e-05,14
1042,5,1.06074234992617e-06,1.41838597764093e-05,0.3,7.52157252471647e-09,1.36722621184265e-05,8
1073,4,1.02389043553227e-06,2.80897430909563e-05,0.333333333333333,3.87587821338983e-10,1.27700012388686e-05,21
1113,10,1.18050653174264e-06,0.000245796478052657,0.0888888888888889,8.2347736909058e-08,2.48715018931593e-05,13
1165,4,1.11088029487207e-06,7.24754505504983e-05,0.166666666666667,9.08860613259414e-09,1.53474909378422e-05,14
1275,2,1.05234246170263e-06,0,1,1.2881863243736e-09,7.69434082988382e-06,5
1314,4,1.13340904505754e-06,0.000213021833073517,0,1.2868360632218e-08,1.22756106844348e-05,5
1349,20,1.09997206070966e-06,0.000920528071908477,0.0473684210526316,1.58095984604899e-08,5.28990484343048e-05,6
1370,3,1.23826741623121e-06,2.90532715923371e-05,0.333333333333333,4.65512470273473e-07,1.1481248754388e-05,19
